"name"|"anio"|"p_t1"|"p_t2"|"p_t3"|"p_t4"|"p_t5"|"transp_gral"|"p_c1"|"p_c2"|"p_c3"|"p_c4"|"p_c5"|"comp_gral"|"p_i1"|"p_i2"|"p_i3"|"p_i4"|"p_i5"|"irreg_gral"
"Secretaría de Relaciones Exteriores"|"2019"|0.87|0|0|0|0|0.174|72.78481012658227|0|13.88888888888889|16.666666666666664|77.82821493364914|36.23371612315739|0|0|42.405063291139236|0|5.69620253164557|9.62025316455696
"Secretaría de Relaciones Exteriores"|"2020"|0|0|0|0|4.35|0.8699999999999999|48.05194805194805|0|21.73913043478261|13.043478260869565|19.189896956080325|20.40489074073611|0|0|53.086419753086425|2.4691358024691357|32.098765432098766|17.530864197530867
"Secretaría de Relaciones Exteriores"|"2021"|2.7|0|0|0|14.81|3.5020000000000002|53.62318840579711|0|14.814814814814813|3.7037037037037033|25.513983704243078|19.531138125711742|0|0|53.84615384615385|3.076923076923077|3.076923076923077|12
"Secretaría de Relaciones Exteriores"|"2022"|19.57|0|0|0|0|3.914|41.81818181818181|0|10.81081081081081|8.108108108108109|26.475428257701104|17.442505798960365|0|0|46.666666666666664|0.9523809523809524|26.666666666666668|14.857142857142856
"Secretaría de Salud"|"2017"|0|0|0|0|0|0|74.52830188679245|0|0|50|33.32425019942373|31.570510417243234|0|0|48.148148148148145|0|27.77777777777778|15.185185185185185
"Secretaría de Salud"|"2018"|0|0|0|2.17|0|0.434|86.25792811839324|0|23.91304347826087|26.08695652173913|94.97436763572644|46.24645915082393|0|0|60.190073917634635|2.3231256599788805|11.615628299894404|14.825765575501583
"Secretaría de Salud"|"2019"|0.47|0|0|3.57|3.57|1.5219999999999998|84.72222222222221|0|21.428571428571427|28.57142857142857|56.6685878785153|38.2781620201475|0|0|52.976190476190474|0.7936507936507936|11.904761904761903|13.134920634920636
"Secretaría de Salud"|"2020"|0|0|0|0|0|0|74.29078014184397|0|23.333333333333332|30|38.44031133529549|33.212884962094556|0|0|63.74781085814361|1.926444833625219|25.569176882662|18.248686514886167
"Secretaría de Salud"|"2021"|2.83|0|0|0|0|0.5660000000000001|66.98292220113852|0|20|20|90.7718322890525|39.55095089803821|0|0|65.47842401500938|0.7504690431519699|32.270168855534706|19.69981238273921
"Secretaría de Salud"|"2022"|1.08|0|0|0|0|0.21600000000000003|43.86792452830189|0|21.428571428571427|30.952380952380953|46.52688618924499|28.55515261969985|0|0|70.64935064935065|0.5194805194805194|48.57142857142857|23.948051948051948
"Secretaría de Salud"|"2023"|100|NA|NA|NA|NA|100|20|0|NA|NA|100|40|0|0|100|0|90|38
"Secretaría de Seguridad y Protección Ciudadana"|"2019"|9.09|NA|NA|NA|NA|9.09|100|0|NA|NA|100|66.66666666666667|0|0|63.63636363636363|0|0|12.727272727272727
"Secretaría de Seguridad y Protección Ciudadana"|"2020"|18.18|0|0|0|0|3.636|89.79591836734694|0|0|0|96.74850535317499|37.30888474410439|0|0|42.857142857142854|0|0|8.571428571428571
"Secretaría de Seguridad y Protección Ciudadana"|"2021"|1.43|0|0|0|25|5.286|41.17647058823529|0|8.333333333333332|16.666666666666664|90.44589018415546|31.32447215447815|0|0|73.93939393939394|0|68.48484848484848|28.484848484848488
"Secretaría de Seguridad y Protección Ciudadana"|"2022"|5.13|0|0|0|29.41|6.9079999999999995|50|0|11.76470588235294|11.76470588235294|79.61461623205999|30.62880559935317|0|0|61.038961038961034|0|31.16883116883117|18.441558441558442
